                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    242,                0.20351,                0.69231,                      1,                0.79938,             0.00037471,             0.00037471,             0.00037471
                    243,                0.15318,                  0.625,                      1,                0.87825,             0.00037329,             0.00037329,             0.00037329
                    244,                0.19358,                0.64423,                      1,                0.86827,             0.00037188,             0.00037188,             0.00037188
                    245,                0.14514,                0.66346,                      1,                0.87465,             0.00037047,             0.00037047,             0.00037047
                    246,                 0.1746,                0.68269,                      1,                0.81911,             0.00036905,             0.00036905,             0.00036905
                    247,                0.13843,                0.71154,                      1,                0.82523,             0.00036764,             0.00036764,             0.00036764
                    248,                0.12111,                0.71154,                      1,                0.87096,             0.00036622,             0.00036622,             0.00036622
                    249,                0.15919,                0.71154,                      1,                0.84804,             0.00036481,             0.00036481,             0.00036481
                    250,                0.15274,                0.69231,                      1,                0.83859,              0.0003634,              0.0003634,              0.0003634
                    251,                0.14778,                0.70192,                      1,                0.85455,             0.00036198,             0.00036198,             0.00036198
                    252,                0.17527,                0.72115,                      1,                0.83812,             0.00036057,             0.00036057,             0.00036057
                    253,                0.18211,                0.70192,                      1,                0.79141,             0.00035916,             0.00035916,             0.00035916
                    254,                0.15167,                0.68269,                      1,                0.87594,             0.00035774,             0.00035774,             0.00035774
                    255,                0.18445,                0.69231,                      1,                0.85227,             0.00035633,             0.00035633,             0.00035633
                    256,                0.18652,                0.70192,                      1,                0.82348,             0.00035492,             0.00035492,             0.00035492
                    257,                0.15719,                0.72115,                      1,                0.79722,              0.0003535,              0.0003535,              0.0003535
                    258,                0.11311,                0.69231,                      1,                0.85022,             0.00035209,             0.00035209,             0.00035209
                    259,                0.16337,                0.70192,                      1,                0.78736,             0.00035067,             0.00035067,             0.00035067
                    260,                0.10714,                0.69231,                      1,                0.82553,             0.00034926,             0.00034926,             0.00034926
                    261,                 0.1497,                0.70192,                      1,                0.86842,             0.00034785,             0.00034785,             0.00034785
                    262,                 0.1357,                0.70192,                      1,                0.86342,             0.00034643,             0.00034643,             0.00034643
                    263,                0.13006,                0.68269,                      1,                0.85222,             0.00034502,             0.00034502,             0.00034502
                    264,                0.18462,                0.68269,                      1,                0.82277,             0.00034361,             0.00034361,             0.00034361
                    265,                0.12421,                0.68269,                      1,                0.78791,             0.00034219,             0.00034219,             0.00034219
                    266,                0.19611,                0.70192,                      1,                0.81629,             0.00034078,             0.00034078,             0.00034078
                    267,                0.12618,                0.70192,                      1,                0.82727,             0.00033936,             0.00033936,             0.00033936
                    268,                0.15875,                0.67308,                      1,                0.83391,             0.00033795,             0.00033795,             0.00033795
                    269,                0.13125,                0.68269,                      1,                0.82835,             0.00033654,             0.00033654,             0.00033654
                    270,                0.15035,                0.65385,                      1,                0.86228,             0.00033512,             0.00033512,             0.00033512
                    271,                0.14019,                0.63462,                      1,                0.82566,             0.00033371,             0.00033371,             0.00033371
                    272,                0.12022,                0.69231,                      1,                0.83359,              0.0003323,              0.0003323,              0.0003323
                    273,                0.14453,                0.70192,                      1,                0.81266,             0.00033088,             0.00033088,             0.00033088
                    274,                0.14122,                0.70192,                      1,                0.84523,             0.00032947,             0.00032947,             0.00032947
                    275,                0.13199,                0.72115,                      1,                0.87725,             0.00032805,             0.00032805,             0.00032805
                    276,                0.09793,                0.69231,                      1,                0.82536,             0.00032664,             0.00032664,             0.00032664
                    277,                 0.1413,                0.69231,                      1,                0.81746,             0.00032523,             0.00032523,             0.00032523
                    278,                0.11421,                0.70192,                      1,                0.85356,             0.00032381,             0.00032381,             0.00032381
                    279,                0.12141,                0.71154,                      1,                0.83941,              0.0003224,              0.0003224,              0.0003224
                    280,                0.15602,                0.72115,                      1,                0.80122,             0.00032099,             0.00032099,             0.00032099
                    281,                0.16686,                0.70192,                      1,                0.82044,             0.00031957,             0.00031957,             0.00031957
                    282,                0.13227,                0.70192,                      1,                0.77837,             0.00031816,             0.00031816,             0.00031816
                    283,                 0.1069,                0.72115,                      1,                0.79068,             0.00031674,             0.00031674,             0.00031674
                    284,                0.10301,                0.71154,                      1,                0.82808,             0.00031533,             0.00031533,             0.00031533
                    285,                0.14907,                0.73077,                      1,                0.84205,             0.00031392,             0.00031392,             0.00031392
                    286,                0.15697,                   0.75,                      1,                0.81914,              0.0003125,              0.0003125,              0.0003125
                    287,                0.15015,                0.72115,                      1,                0.80405,             0.00031109,             0.00031109,             0.00031109
